,0
148,"After Tesla's record year in Norway, rivals gear up for 2020"
149,U.S. farmers see another bleak year despite Phase 1 trade deal
150,Ryanair CEO says group may not get 737 MAX until October: report
151,Exclusive: China to keep same inflation target in 2020 despite food price spike - sources
152,"HSBC to stop weekend, overnight services at some Hong Kong ATMs after branches vandalized"
153,Tesla cuts price for China-made Model 3 vehicles before delivery
154,U.S. oil deals hit five-year high in 2019 on Occidental's blockbuster Anadarko buy
155,"Global stocks hit record as rally enters new year, dollar rebounds"
156,"Wall Street starts 2020 with new records on China stimulus, trade hopes"
157,Lebanon receives Interpol arrest warrant for ex-Nissan boss Ghosn
158,From arrest to flight - key dates in the Ghosn affair
159,Carlos Ghosn says family played no role in escape from Japan: statement
160,Lebanon played no official role in Ghosn exit: minister to MTV
161,"HSBC kicks off year with Hong Kong branches closed, vandalized"
162,"Oil edges up on Mideast tensions, trade optimism"
163,Uber Eats goes local to find its niche in South African food fight
164,Dollar recovers from six-month low after year-end sell-off
165,Tesla says will start delivering China-made Model 3s to public on Jan. 7
166,Exclusive: China halts British stock link over political tensions - sources
167,Ghosn met Lebanese president after fleeing Japan: sources
168,Volkswagen starts settlement talks with German consumer groups over diesel scandal
169,U.S. jobless claims edge lower but trend points to uptick in filings
170,"Asian shares outperform global peers in December, but yearly gains lag"
171,Lebanon receives Interpol arrest warrant for Ghosn - Lebanese judicial source
172,"Futures rise on China stimulus, trade optimism"
173,U.S. shale producers to tap brakes in 2020 after years of rapid growth
174,Germany's Bosch to offer lower-cost sensors for self-driving cars
175,Turkey detains pilots over Ghosn's escape through Istanbul
176,Turkish police detain four pilots over Ghosn's escape: NTV
177,"Hyundai, Kia sales drop to seven-year low on China weakness, forecast better 2020"
178,"Xiaomi to invest $7 billion in 5G, AI and IoT over next five years"
179,"Australia-listed Sezzle fails to win California lending license, shares dive"
180,Major commercial plane crash deaths worldwide fell by more than 50% in 2019: group
181,More drugmakers hike U.S. prices as new year begins
182,Nissan ex-boss Carlos Ghosn to hold press conference on Jan. 8: lawyer
183,"Exclusive: Airbus beats goal with 863 jet deliveries in 2019, ousts Boeing from top spot"
184,Strike not extended at Lufthansa's Germanwings for now
185,Britain's Lloyds Banking Group suffers hours-long online outage
186,"Surveillance in a leafy enclave, Ghosn's Tokyo life was under strict monitoring"
187,Ghosn flight prompts talk of more curbs in Japan's strict justice system
188,"Surveillance in a leafy enclave, Ghosn's Tokyo life was under strict monitoring"
189,Samsung Electronics chip output at South Korea plant partly halted due to short blackout
190,U.S. auto safety agency to investigate fatal Tesla crash in California
191,Tesla must face lawsuit claiming racism at California factory
192,Turkish Airlines says reaches compensation deal over Boeing 737 MAX
193,"Global stocks end 2019 near record highs, dollar slides"
194,Exclusive: Drugmakers from Pfizer to GSK to hike U.S. prices on over 200 drugs
195,"Uber, Postmates sue to block California gig worker law, claiming it's unconstitutional"
196,Wall Street edges higher; S&P closes decade with nearly 190% gain
197,Oil posts biggest yearly rise since 2016
198,U.S. holiday returns surge with booming e-commerce
199,Dollar index records smallest ever annual move in 2019
200,Trump says U.S.-China trade deal will be signed on January 15
201,Hudson's Bay chairman considers sweetened bid for retailer
202,Ghosn says he escaped 'injustice' in Japan; Lebanon calls arrival a private matter
203,Factbox: Carlos Ghosn joins list of execs fighting extradition
204,"Google to end 'Double Irish, Dutch sandwich' tax scheme"
205,Beirut says it doesn't know how Nissan ex-boss Ghosn made it to Lebanon
206,France says it was not aware of Ghosn going to Lebanon
207,Nissan ex-boss Ghosn entered Lebanon legally: security directorate
208,Tencent gets into global groove with stake in Vivendi's Universal
209,Singapore's GIC part of consortium investing in Vivendi's Universal Music: source
210,Qatar's state investor also part of Tencent's Universal deal
211,"Ghosn lawyers still in possession of his passports, lawyer says"
212,"Huawei's 2019 revenue to jump 18%, forecasts 'difficult' 2020"
213,Nissan ex-boss Ghosn entered Lebanon on French passport - MTV
214,"Factbox: Ghosn's bail conditions - Surveillance cameras, no internet access"
215,Factbox: Financial wrongdoing allegations against Carlos Ghosn
216,"Ghosn says in Lebanon, having 'escaped injustice'"
217,French government minister 'very surprised' by Ghosn's move to Lebanon
218,White House adviser says China trade deal signing expected soon
219,From opioid deaths to student debt: A view of the 2010s economy in charts
220,JP Morgan attempts full control of China futures JV -Bloomberg
221,MTN reviewing allegations after being named in U.S. complaint
222,Ford says reservations full for high-end version of electric Mustang Mach-E
223,Lockheed Martin hits 2019 F-35 delivery target of 131 jets
224,Wall Street slips from records as investors lock in year-end gains
225,"World stocks slip as rally pauses, dollar eases"
226,'Do Not Sell My Info': U.S. retailers rush to comply with California privacy law
227,"The Decade of Debt: big deals, bigger risk"
228,The decade that saw volatility trading come of age
229,"Oil hits three-month high on upbeat data, Middle East tension"
230,"Nestle wraps up 20 billion Swiss franc share buyback, launches new program"
231,Tesla delivers first China-made Model 3 sedans in just under a year
232,U.S.-China trade deal signing within week or so: White House adviser
233,Satellite imagery company Maxar to sell Canadian unit for C$1 billion
234,U.S. sanctions block hurry-up work on Russian gas pipeline: officials
235,EU seeks reset in trade talks with U.S. - trade chief Hogan
236,More than 150 flights canceled in Germany as Lufthansa's Germanwings hit by strikes
237,China's December factory activity set to expand for a second month: Reuters poll
238,BoE's Carney says finance must act faster on climate change
239,"Oil price rise muted in 2019 despite sanctions, supply cuts, attack in Saudi Arabia"
240,U.S. LNG exports soar in 2019 but supply glut may await in 2020
241,Egypt competition watchdog approves Uber acquisition of Careem with conditions
242,China commerce ministry says it has proactively dealt with U.S. trade frictions
243,Musk says Boring Co's Las Vegas tunnel to 'hopefully' be operational next year
244,"U.S. eyes customs deal with Mexico, plans attorney general visit in January"
245,"Recession, robots and rockets: another roaring 20s for world markets?"
246,Tim Hortons President Alex Macedo to leave next year
247,Sinochem unit gets $1.65 billion investment from state firms
248,"Global shares gain in record year-end rally, dollar slips"
249,"S&P 500, Dow eke out records; Nasdaq win streak ends"
250,"Amazon's Ring cameras are vulnerable to hackers, lawsuit in U.S. claims"
251,"Oil hits three-month high on falling oil stocks, investor optimism"
252,Oilfield service firms have a bearish outlook for 2020: Dallas Fed
253,Facebook's Libra has failed in current form: Swiss president
254,Tesla set to begin deliveries of China-made Model 3 cars on Dec. 30
255,Turkey unveils first fully homemade car in $3.7 billion bet on electric
256,China fines Toyota 87.6 million yuan over Lexus price-fixing
257,Volkswagen ahead of schedule in electric cars production
258,Uniqlo founder Yanai resigns as SoftBank board member after 18 years
259,"China's industrial profits grow at fastest in eight months, but sustained recovery uncertain"
260,Exclusive: Nissan orders drastic spending cuts to stem profit slide and 'conserve every yen' - sources
261,U.S. energy shareholders seek to leave behind a lost decade
262,Nissan picks Sakamoto as board candidate after Seki's resignation
263,"Astellas ramps up M&A, buys U.S. biotech Xyphos for as much as $665 million"
264,Hyundai Development says consortium closes $2.2 billion acquisition of Asiana Airlines
265,Peru watchdog says McDonald's franchisee Arcos Dorados violated safety laws
266,Tesla secures $1.29 billion loan from Chinese banks for Shanghai factory
267,Global stocks rally to record highs; gold gains
268,"Nasdaq tops 9,000 on boosts from Amazon, trade optimism"
269,Boeing 737 MAX crisis adviser Michael Luttig to retire
270,Oil up 1% at highest since September on trade pact and crude supplies
271,Record online sales give U.S. holiday shopping season a boost: report
272,Tiffany sees rise in holiday sales on higher China spending
273,Emerging market stocks were laggards in the past decade
274,"Holiday season package returns to hit a record high, says UPS"
275,Prosecutors claim Avenatti was over $15 million in debt during alleged Nike extortion
276,China commerce ministry says in close touch with U.S. on signing trade deal
277,China Southern Air Holding sets up one billion yuan cargo company
278,Indian IPOs fall to four-year low as economy falters
279,Trump says he and Xi will sign China trade deal
280,"Exclusive: Russia's Sberbank to remain Yandex partner, may adjust some projects - CEO Gref"
281,Russian government plans to use rainy day fund to buy Sberbank from central bank: two sources
282,"Joint Saudi, Kuwaiti oil field expected to produce 320,000 bpd by end-2020"
283,Brash Uber co-founder Kalanick leaves board to focus on industrial kitchens
284,China says it is in close touch with U.S. on trade deal signing ceremony
285,China's November soybean imports from U.S. rise as tariff-free cargoes arrive
286,Questions over Hyundai construction of Chilean bridge amid row with government
287,"Global stocks hover near record highs, gold breaches $1,500"
288,"S&P 500, Dow pause near records in Christmas Eve trade"
289,New Boeing CEO Calhoun is hardened corporate crisis manager
290,New Boeing 737 MAX documents show 'very disturbing' employee concerns: U.S. House aide
291,Nissan top executive Seki to resign in blow to turnaround plan
292,Oil rises on supply cut pledges and slow return of Gulf field
293,"After Ethiopia crash, victims’ relatives say they were hounded by U.S. law firms"
294,Mexican businesses worry tweak to USMCA trade deal could slow exports
295,New Boeing boss faces EU pressure over Embraer tie-up: sources
296,Beauty brands tap TikTok influencers for holiday campaigns
297,"Emaar says may raise funds against Burj Khalifa viewing decks, not selling them"
298,"Electric vehicle startup Rivian scores $1.3 billion investment from T.Rowe Price, others"
299,How risky ETFs won the decade - and why they might not repeat that performance
300,Credit Suisse hit with $6.5 million U.S. fine for supervisory lapses
301,Boeing fires CEO Muilenburg to restore confidence amid 737 crisis
302,"Factbox: From GE to media, Boeing's new CEO"
303,U.S. activist investors post strong gains as needling companies pays off
304,"ByteDance has no sale plans for TikTok, media report untrue - internal note"
305,Tesco suspends Chinese supplier after suspected prisoner message
306,BMW says being investigated by U.S. SEC
307,Roche dives deeper into gene therapy with $1.15 billion Sarepta licensing deal
308,"In win for Uber, Lyft, judge strikes down New York City's cruising cap"
309,Key events leading up to the firing of Boeing's CEO over the 737 MAX
310,Wall Street posts records amid trade optimism; Boeing juices Dow
311,Spirit Airlines to buy 100 Airbus A320neo family aircraft
312,Global shares inch to new highs on trade hopes; dollar little changed
313,Forget store traffic and bag count: Gauging retail performance in an online world
314,Factbox: Sizing up retailers' performance as online sales surge
315,Oil steadies as Russia touts easing OPEC+ output
316,Exclusive: Tesla to take new $1.4 billion loan from Chinese banks for Shanghai factory - sources
317,'So high': Tesla shares cross $420 mark over a year after Musk buyout tweet
318,U.S. business spending on equipment appears soft; housing steadies
319,Credit Suisse admits spying on second executive
320,Disruptive decade: Ten things the teen years brought world markets
321,S&P is the decade's runaway winner
322,China denies forced labor accusations after plea found in Christmas card
323,Bombardier's new Global business jets get U.S. FAA certification
324,Court rejects Ryanair's bid to delay operations chief's easyJet move
325,"Monetary stimulus? Low rates mean more babies, Bank of England says"
326,Bank of England steps up monitoring of Lloyd's whistleblowing systems
327,Exclusive: Dubai's Emaar to sell view from world's tallest tower - sources
328,Deutsche Bank to no longer pay for advice from Cerberus: source
329,The Yankees are coming! U.S. firms rush to euro debt markets
330,Bank of Italy chief defends regulator's role in Bari bank crisis
331,Bayer shares up 3.5% after U.S. government's backing in glyphosate lawsuit
332,Credit Suisse surveillance probe to continue
333,JD.Com's logistics unit taps banks for potential $8-$10 billion IPO: sources
334,SoftBank's $3 billion WeWork financing talks stall with Japan banks: sources
335,"BlackRock, Temasek to take majority stake in wealth management JV with CCB: sources"
336,Oil group Total to pay $100 million bonus as part of Apache Suriname deal
337,'Bull's-eye' landing caps Boeing's faulty astronaut capsule test mission
338,Repo is Wall Street's big year-end worry. Why?
339,China's industrial output to grow around 5.6% year-on-year in 2019: ministry
340,Lone Star emerges as white-knight bidder for Japanese hotel chain Unizo
341,Activist hedge fund Marcato Capital to shut down after drop in assets
342,German cabin crew union threatens Lufthansa strikes after 'failed' talks
343,Lufthansa says arbitrators propose fresh talks with cabin crew union in January
344,Boeing's Starliner lands in desert: company
345,Second Credit Suisse spying probe expected to clear CEO Thiam: SonntagsZeitung
346,The best year financial markets have ever had?
347,Trump says trade deal with China to be signed 'very shortly'
348,Manager of McDonald's franchise in Peru says faulty drinks machine caused deaths
349,"NASA, Boeing investigating why Starliner spacecraft missed orbit"
350,U.S. government says verdict in Bayer's Roundup case should be reversed
351,Britain gives U.S. investor go-ahead to buy Cobham for $5 billion
352,"Nord Stream 2 to press on with Europe gas pipe, despite U.S. sanctions"
353,Germany 'firmly rejects' U.S. sanctions on Nord Stream 2 firms
354,Russia gas export pipeline in jeopardy as Trump signs sanctions bill
355,Russia to go ahead with gas pipe project despite U.S. sanctions
356,Boeing's failed Starliner mission strains 'reliability' pitch
357,Russia must press on with Nord Stream 2 gas line to Europe: Russian senator
358,Wall Street Week Ahead: History suggests rally may slow for U.S. stocks in 2020
359,Lone Star to buy BASF construction chemicals unit for $3.51 billion
360,PG&E creditors offer California wildfire victims $13.5 billion in cash upfront
361,Boeing's Starliner astronaut capsule fails key test to reach space station
362,SEC probes at least two trading firms over NYSE listings: source
363,U.S. Steel delivers unwelcome Christmas surprise to Michigan town
364,"Colombia orders Uber to cease ride-hailing, cites competition rules violation"
365,"U.S. Justice Department and FCC fight state effort to block merger of Sprint, T-Mobile"
366,Testimony ends in T-Mobile-Sprint merger trial in New York
367,France fines Google 150 million euros for opaque advertising rules
368,JPMorgan pressed by Senate Democrats on racial discrimination reports
369,"Alphabet grants Pichai largest ever stock award, again"
370,U.S. transport chief said economic issues not a factor in 737 MAX's safety review
371,"S&P 500 posts biggest weekly percent gain since September amid data, trade optimism"
372,Exclusive: U.S. talks with GM over deploying self-driving cars without steering wheels
373,U.S. accuses FleetCor of charging hundreds of millions of dollars in hidden fees
374,"Stocks extend record rally, sterling endures rough week"
375,Oil prices down but log third weekly rise on trade hopes
376,Amazon to raise U.S. fulfillment fees 3 percent for merchants next year
377,U.S. consumers put economy on moderate growth path in third quarter
378,"Fiat Chrysler unions received assurances on jobs, investment after merger"
379,Tesla shares inch closer to Musk's $420 take-private offer
380,"Graphic: For veteran Netflix shareholders, it's been a very good decade"
381,United cancels 737 MAX flights into June as Spirit AeroSystems to freeze parts production
382,United Airlines pulls Boeing 737 MAX jets until early June
383,"FCA sticks to investment plan for Italy, no redundancies: unions"
384,Novartis wins Medicaid approval for new sickle cell drug in key U.S. states
385,Shell writes down up to $2.3 billion on weaker economic outlook
386,Just Eat food fight nears end as it backs Takeaway's final offer
387,ViacomCBS to take 49% stake in film studio Miramax for $375 million
388,"Aramco, Alibaba rescue sluggish 2019 global ECM market"
389,French telco Orange found guilty over workers' suicides in landmark ruling
390,Take Five: Ding dong markets merrily on high
391,"Wall Street analysts bullish over Nike's digital growth, look past margin weakness"
392,Veteran watchdog Bailey to guide Bank of England through Brexit
393,J&J to buy remaining stake in Verb Surgical to strengthen digital surgery portfolio
394,Exclusive: Huawei and Deutsche Telekom held advanced talks over 5G network deal - sources
395,Ruling on Ryanair bid to delay COO's easyJet move set for December 23
396,China says case of detained Canadians turned over to prosecutors
397,"Volkswagen takes one-two punch in Australia with fine, lawsuit"
398,China can fulfil $40 billion U.S. farm purchase pledge: consultancy
399,"Mahjong, cartoons coming to Tesla car screens in China next year"
400,Factbox: Nestle CEO Mark Schneider's top deals since his appointment in 2017
401,Dismal decade for emerging markets casts pall over repeated 'buy' notes
402,Two deals in pocket but no holiday cheer for U.S. trade chief Lighthizer
403,Turkish Airlines prepping case against Boeing over 737 MAX: news agency
404,Australia's Westpac names two members of money laundering review panel
405,Chipotle accused of violating U.S. labor law on union organizing
406,"U.S. House passes new North American trade deal, Senate timing unclear"
407,Australia fines Volkswagen record $86 million for emissions breach: regulator
408,AFL-CIO's Trumka says USMCA is first step to undoing evils of NAFTA
409,"USMCA approval will trigger investment, growth: Mexico foreign minister"
410,China's Great Wall revs up for India as rivals hit the brakes
411,Record-setting rally resumes as Mnuchin says trade deal to be signed
412,"Nike quarterly results beat, but North America disappoints"
413,Boeing astronaut capsule faces key test on trip to space station
414,Senior U.S. lawmaker to seek testimony of Wells Fargo's board
415,Brazil's Embraer plans to develop new light military transport plane
416,Amazon to deliver 3.5 billion packages through own network in 2019
417,"Nvidia, Mellanox Technologies win EU approval for $6.8 billion deal"
418,Southwest can be sued for bumping passenger who spoke Arabic: U.S. judge
419,Stocks rally anew; euro bonds rise on Swedish rate move
420,"Goldman Sachs may admit guilt, pay $2 billion fine to settle U.S. 1MDB probes: source"
421,Starbucks settles New York probe into illegal sick leave policy
422,Airbnb wins fight to remain exempt from European property rules
423,French 'AHTOP' tourism association urges France to act after Airbnb ruling
424,"Daimler, BMW exiting North American car-sharing market, cutting in Europe"
425,"Oil reaches three-month highs, supported by low U.S. inventories, trade progress"
426,U.S. business borrowing for equipment falls 3% in November: ELFA
427,"Markets sleepy, dollar on hold ahead of U.S. GDP data"
428,"Apple held talks to add James Bond, live sports to streaming service: WSJ"
429,"Facebook EU user data transfer contracts are legal, but risks ahead: EU court adviser"
430,U.S. labor market on solid ground; mid-Atlantic factories sputter
431,SEC proposes allowing more investors access to private companies
432,German court bans Uber's ride-hailing services in Germany
433,China says in touch with U.S. on signing of Phase 1 trade deal
434,U.S.-China to sign 'Phase one' trade pact in early January: Mnuchin
435,"GM issues two recalls for more than 900,000 new vehicles"
436,Trump called Boeing CEO to inquire about 737 MAX production halt: sources
437,Volkswagen attracts bids for MAN Energy Solutions unit: sources
438,"China announces new tariff exemptions for U.S. chemical, oil products"
439,Adidas and Beyonce to launch gender-neutral collection
440,"Citi, ValueAct Capital extend information sharing, engagement agreement through 2021"
441,Facebook's Libra lacks solid plan for launch- governing board member
442,U.S. weekly jobless claims fall from more than two-year high
443,Rolls-Royce gives first look at one-seater electric plane
444,Swatch ticked off with Swiss anti-trust agency parts ban
445,Accenture beats quarterly estimates on digital and cloud strength
446,Dongfeng and PSA extend joint venture despite stake sale to smooth mega-merger
447,Exclusive: Ant Financial takes stake in Vietnam's eMonkey: sources
448,"Volkswagen brand to post record profit on SUVs, cost cuts: executive"
449,Norwegian Air hoping to agree Boeing 737 MAX compensation this year
450,"Long road ahead as Fiat Chrysler, Peugeot agree to $50 billion merger"
451,"Italian PM welcomes Fiat Chrysler merger with PSA, says jobs crucial"
452,SoftBank's Yahoo Japan exits Oyo's Japan apartment venture
453,Exclusive: BP's incoming CEO won't initially take up Rosneft board seat - company sources
454,UK accounting watchdog extends probe into EY audit of Thomas Cook
455,"Ant Financial appoints Simon Hu as CEO, part of Alibaba's executive shuffle"
456,"Philippines' Cebu Air orders 15 A320neo jets, pushing Airbus toward sales milestone"
457,"Exclusive: India's NTPC snubs foreign emissions tech, shuts out GE, others from $2 billion orders"
458,Dish founder Ergen says he asked for senator's help on T-Mobile/Sprint
459,Swatch threatens to seek damages over Swiss antitrust agency's measures
460,Exclusive: Nvidia to win unconditional EU okay for $6.8 billion Mellanox buy - sources
461,Daimler agrees to $20 million settlement over U.S. vehicle recalls
462,Fiat Chrysler CEO Manley to be part of new group after PSA merger: chairman
463,Fiat Chrysler has aggressive goals for 2020 independently of PSA merger: CEO
464,Timeline: Fiat Chrysler and Peugeot merger marks next round of consolidation
465,"Factbox: Fiat Chrysler, Peugeot tie-up: how does it work?"
466,"Factbox: World's top automakers as PSA, FCA prepare to merge"
467,UK union seeks guarantees on manufacturing after Peugeot-Fiat merger
468,French designs on dominance of Peugeot-Fiat rest on Tavares
469,Peugeot boss Tavares has car manual for fixing Fiat Chrysler
470,U.S. judge approves PG&E deal with California wildfire victims; stock jumps
471,McDonald's Peru operator shuts restaurants for inspection after employee deaths
472,"Airbus sees strong sales haul this year on Asia demand, long-range A321"
473,Wall Street pauses record-setting rally as FedEx shares tumble
474,Exclusive: Freddie Mac offers early retirement to 25% of workforce - sources
